Project,Dataset,Table
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230206
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230213
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230220
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230227
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230306
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230313
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230320
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230327
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230403
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230410
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230417
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230424
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230612
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230619
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230626
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230703
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230724
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230731
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230807
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230814
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230821
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230828
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230911
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20231030
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20231106
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20231211
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20231218
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20231225
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20240101
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20240108
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20240422
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20240429
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20211129
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220110
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220117
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220124
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220131
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220207
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220214
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220221
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220228
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220307
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220314
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220321
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220328
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220404
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220411
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220418
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220425
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220502
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220509
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220516
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220523
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220530
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220606
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220613
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220620
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220627
